Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
390,64.9639423076923,0.25,Echo 0,1,Clique B
420,64.28285256410257,0.25,Echo 0,1,Clique B
450,67.02724358974359,0.25,Echo 0,1,Clique B
480,66.94711538461539,0.25,Echo 0,1,Clique B
510,68.21915064102564,0.25,Echo 0,1,Clique B
540,68.59975961538461,0.25,Echo 0,1,Clique B
570,61.798878205128204,0.25,Echo 0,1,Clique B
600,63.66185897435897,0.25,Echo 0,1,Clique B
630,65.36458333333333,0.25,Echo 0,1,Clique B
660,64.60336538461539,0.25,Echo 0,1,Clique B
690,74.9198717948718,0.25,Echo 0,1,Clique B
720,66.92708333333333,0.25,Echo 0,1,Clique B
750,70.89342948717949,0.25,Echo 0,1,Clique B
780,71.03365384615384,0.25,Echo 0,1,Clique B
810,66.015625,0.25,Echo 0,1,Clique B
840,72.58613782051282,0.25,Echo 0,1,Clique B
870,66.94711538461539,0.25,Echo 0,1,Clique B
900,58.1630608974359,0.25,Echo 0,1,Clique B
930,68.07892628205128,0.25,Echo 0,1,Clique B
960,62.19951923076923,0.25,Echo 0,1,Clique B
990,71.45432692307692,0.25,Echo 0,1,Clique B
1020,70.50280448717949,0.25,Echo 0,1,Clique B
1050,70.26241987179488,0.25,Echo 0,1,Clique B
1080,63.171073717948715,0.25,Echo 0,1,Clique B
1110,66.00560897435898,0.25,Echo 0,1,Clique B
1140,63.802083333333336,0.25,Echo 0,1,Clique B
1170,72.7764423076923,0.25,Echo 0,1,Clique B
1200,67.4579326923077,0.25,Echo 0,1,Clique B
1230,64.12259615384616,0.25,Echo 0,1,Clique B
1260,63.391426282051285,0.25,Echo 0,1,Clique B
1290,63.70192307692308,0.25,Echo 0,1,Clique B
1320,69.35096153846153,0.25,Echo 0,1,Clique B
1350,68.85016025641026,0.25,Echo 0,1,Clique B
1380,70.3125,0.25,Echo 0,1,Clique B
1410,63.83213141025641,0.25,Echo 0,1,Clique B
1440,70.81330128205128,0.25,Echo 0,1,Clique B
1470,73.18709935897436,0.25,Echo 0,1,Clique B
